supporting,,FALSE,"""See Supporting File S3"" - no. 284, ""See Supporting File S3"" - no. 268, "" to avoid supporting misconceptions related to heteronormative behaviors during sexual selection (4-8)"" - no. 267, ""Supporting File"" (2x) - no. 221, ""Supporting File"" (3x) - no. 210, ""Supporting File S1"" - no. 211, ""Supporting File S1. Active Learning Workshop – Worksheet"" (2x) - no. 203, ""Supporting File"" (3x) - no. 199, ""Supporting File"" - no. 189, ""Supporting File"" (6x) - no. 166, ""Supporting File"" - no. 165, ""Supporting File"" (6x) - no.164, ""Supporting File"" - no. 162, ""Supporting File"" (3x) - no. 159, ""Using supporting matErials resources provided"" - no. 148, ""Supporting File"" (6x) - no. 143, ""supporting file"" - no. 139, ""supporting file"" - no. 131, ""Supporting files"" - No. 121, ""Supporting file"" (2X) - no. 111, ""Supporting file"" - no. 77, ""Supporting material"" (2x) - no. 62, ""supporting file"" - no. 40"
file,,FALSE,
organelle,,FALSE,
shape,,FALSE,
notes,,FALSE,
additionally,,FALSE,
administration,,FALSE,
accomplished,JEDI,FALSE,
centered,,FALSE,
techniques,,FALSE,
whip,,FALSE,
around,,FALSE,
promote,JEDI,FALSE,
assignments,,FALSE,
use,,FALSE,
databases,,FALSE,
resources,,FALSE,
quantitative,,FALSE,
allow,,FALSE,
submit,,FALSE,
completed,,FALSE,
cases,,FALSE,
alternative,,FALSE,
audio,,FALSE,
video,,FALSE,
files,,FALSE,
provides,,FALSE,
authentic,JEDI,FALSE,
opportunities,JEDI,FALSE,
embedded,,FALSE,
curriculum,,FALSE,
many,,FALSE,
summer,,FALSE,
demanding,,FALSE,
highly,,FALSE,
competitive,,FALSE,
less,,FALSE,
due,,FALSE,
obligations,JEDI,FALSE,
school,,FALSE,
attitudes,JEDI,FALSE,
toward,,FALSE,
preferences,,FALSE,
lab,,FALSE,
computational,,FALSE,
data,,FALSE,
analysis,,FALSE,
prior,,FALSE,
knowledge,,FALSE,
together,JEDI,FALSE,
teams,JEDI,FALSE,
involves,,FALSE,
investigating,,FALSE,
plant,,FALSE,
genetics,,FALSE,
topic,,FALSE,
frequently,,FALSE,
omitted,,FALSE,
attempting,,FALSE,
address,,FALSE,
awareness,JEDI,FALSE,
disparity,JEDI,FALSE,
lack,,FALSE,
college,,FALSE,
biology,,FALSE,
discuss,,FALSE,
observe,,FALSE,
investigate,,FALSE,
genetic,,FALSE,
maize,,FALSE,
lines,,FALSE,
connections,,TRUE,
human,JEDI,FALSE,
populations,,FALSE,
write,,FALSE,
works,,FALSE,
assignment,,FALSE,
assistants,,FALSE,
